transaction_id,transaction_date,payment_type,sender_country,receiver_country,customer_segment,merchant_category,amount_eur,processing_status,risk_score,is_flagged,is_off_hours,is_cross_border,risk_priority
de6fe728-7c2b-4eb6-87c1-56a2d8d21bb9,2023-04-01 04:55:06,SWIFT,BE,US,Retail,Financial Svcs,864032.19,Completed,100.0,1,1,1,CRITICAL
8120198e-665c-4ee4-9cb1-4bcc4a3679cb,2023-09-17 00:42:35,SWIFT,BE,HK,Retail,Gambling,598753.09,Completed,100.0,1,1,1,CRITICAL
70e0d7fe-ccba-452b-8502-3683fdf601b9,2023-03-24 01:30:58,SWIFT,PT,AE,Retail,Healthcare,475549.1,Pending,100.0,1,1,1,CRITICAL
797a6fbf-6ee7-47d6-8e39-89b65080dd95,2024-01-14 01:36:00,SWIFT,SE,AE,Retail,Logistics,465858.93,Completed,100.0,1,1,1,CRITICAL
778069be-3ad9-4fb0-b247-9f96b1334339,2024-08-30 02:04:24,SWIFT,HU,AE,Retail,SaaS / Software,428479.15,Completed,100.0,1,1,1,CRITICAL
0216f819-8cc7-4362-9bda-3b6d4c7751dc,2023-11-20 04:04:44,SWIFT,FR,SG,SME,Gambling,356060.68,Completed,100.0,1,1,1,CRITICAL
f419aca8-1393-4a9f-a7f5-ed343b458c46,2024-08-15 02:13:51,SWIFT,FI,US,SME,Gambling,336982.03,Completed,100.0,1,1,1,CRITICAL
0884644d-c99c-452a-9c60-81a8d294249e,2023-11-11 02:59:20,SWIFT,BE,US,Retail,SaaS / Software,326068.63,Completed,100.0,1,1,1,CRITICAL
044d8430-6f04-4156-9bc1-a5fb843cef6b,2023-05-07 02:41:28,SWIFT,RO,SG,Retail,Retail,304117.45,Completed,100.0,1,1,1,CRITICAL
cb296f17-ea79-4f4f-82cc-179e2ec0b88c,2023-06-20 04:48:53,SWIFT,SE,SG,Retail,SaaS / Software,292363.35,Completed,100.0,1,1,1,CRITICAL
8af5660d-f65e-45fb-804b-0272303a1983,2023-10-05 00:38:54,SWIFT,IT,SG,Retail,Travel,244826.05,Pending,100.0,1,1,1,CRITICAL
219aff1d-ae24-41f0-b9be-25a52226a97a,2024-11-24 03:53:45,SEPA Credit Transfer,FR,AE,Retail,Crypto Exchange,217536.08,Pending,100.0,1,1,1,CRITICAL
38f71a89-d4f2-4502-933e-8f1a0a0c9e6c,2023-01-11 04:57:53,SWIFT,SE,HK,Retail,Logistics,179354.11,Completed,100.0,1,1,1,CRITICAL
f86ed56a-1cf8-4eff-b933-cbb192ccf60b,2023-09-29 02:34:29,SWIFT,FR,SG,Retail,Healthcare,172016.78,Completed,100.0,1,1,1,CRITICAL
af8f3c68-e3c3-4c0f-b473-f43143a5d104,2023-08-07 02:39:19,SWIFT,SE,HK,Retail,Retail,171692.55,Completed,100.0,1,1,1,CRITICAL
d290bcab-4908-4dbc-ad45-9c3a7a4a55b3,2023-03-29 02:28:50,SWIFT,ES,HK,Retail,Retail,160970.25,Completed,100.0,1,1,1,CRITICAL
ba82bd07-a2ea-4639-94c2-ace9dda91a32,2024-01-06 02:47:02,SWIFT,DK,HK,Retail,Gambling,149248.56,Completed,100.0,1,1,1,CRITICAL
7d44d548-318f-4772-9a78-c99e52952c4a,2023-12-07 23:09:45,SWIFT,FR,AE,Retail,Travel,146324.02,Pending,100.0,1,1,1,CRITICAL
0842d6f2-660b-4d75-8b34-40335cb41e34,2024-07-14 02:17:45,SWIFT,IT,HK,Retail,Healthcare,127833.75,Completed,100.0,1,1,1,CRITICAL
06ca0519-7d7a-47fc-8aec-2d1f539e9fbb,2024-03-20 11:58:42,SWIFT,FI,SG,Retail,Gambling,76640.9,Pending,100.0,1,0,1,CRITICAL
a677d10b-6943-4da5-b767-7532c85c84f7,2024-10-16 14:26:32,SWIFT,BE,AE,Retail,Gambling,75027.94,Pending,100.0,1,0,1,CRITICAL
02fbdc48-58dc-44bc-8b36-de1c0732a7da,2024-03-07 20:29:57,SWIFT,BE,HK,Retail,Crypto Exchange,74373.14,Completed,100.0,1,0,1,CRITICAL
e1c2accb-ac33-42f8-be4b-f0bcb6cd2f33,2024-02-15 03:06:30,SWIFT,FI,US,Retail,Crypto Exchange,30747.25,Completed,100.0,1,1,1,CRITICAL
70acfb0e-8cd7-4383-899c-0a51db7a2f11,2024-06-04 02:40:11,SWIFT,AT,AE,SME,Gambling,69063.13,Completed,99.29,1,1,1,CRITICAL
677d3f14-d27a-4725-be18-2ffff4541f0e,2024-05-13 23:26:54,SEPA Credit Transfer,HU,SG,Retail,Gambling,60430.14,Pending,98.44,1,1,1,CRITICAL
44f1b35b-7f04-47ca-bf8d-72230f75fdd5,2024-10-13 18:20:04,SWIFT,RO,SG,Retail,Gambling,28222.86,Completed,95.54,1,0,1,CRITICAL
e155d757-f74a-414d-a97c-fc99f01786f0,2023-11-26 09:35:21,SWIFT,SE,SG,Retail,Crypto Exchange,21708.38,Pending,95.37,1,0,1,CRITICAL
92fc5561-bc5f-4377-81d1-8d5316a445e8,2024-12-12 22:38:09,SWIFT,DE,AE,Retail,Healthcare,55735.54,Completed,93.55,1,1,1,CRITICAL
a8846dd1-1299-47de-8181-ca0f267d6753,2023-03-23 05:37:45,SWIFT,ES,AE,Retail,Travel,51041.78,Pending,92.94,1,1,1,CRITICAL
8bcb8cc2-c63f-437d-bd75-c77bf80436c3,2024-04-24 01:54:49,SWIFT,HU,SG,SME,Crypto Exchange,44657.91,Completed,92.61,1,1,1,CRITICAL
9f478336-260c-47ae-bd1f-479f9439a041,2024-08-24 04:00:51,SWIFT,ES,HK,Retail,SaaS / Software,60749.11,Completed,92.5,1,1,1,CRITICAL
0f7bf71d-7d91-487a-88cd-b503ccd5dd16,2023-11-16 10:40:03,SWIFT,HU,SG,SME,Crypto Exchange,284444.35,Completed,92.38,1,0,1,CRITICAL
ac0bc918-7bae-433f-9d8e-a60f003a1dc2,2024-05-09 10:01:44,Card Payment,FI,SG,Retail,Crypto Exchange,277998.48,Completed,92.19,1,0,1,CRITICAL
8ef96c00-9806-4788-b951-8016881942a2,2024-12-24 05:46:15,SWIFT,DE,SG,Retail,Logistics,65719.51,Completed,92.19,1,1,1,CRITICAL
cbd20fef-d523-4450-9bd0-44da703dfae9,2023-09-10 05:18:36,SEPA Credit Transfer,BE,SG,Retail,Gambling,22036.62,Completed,92.02,1,1,1,CRITICAL
a97bb21b-19ea-428e-941f-a17f17adcaa0,2023-11-13 13:17:24,SEPA Direct Debit,RO,SG,Retail,Gambling,168981.41,Completed,91.82,1,0,1,CRITICAL
03ea35d3-f646-4622-b604-306895cd081c,2024-09-22 23:02:37,SWIFT,NL,US,Retail,Healthcare,78446.69,Completed,90.97,1,1,1,CRITICAL
4d34590a-0765-4edb-b816-fae1536b1b07,2024-08-28 04:07:24,SWIFT,PL,SG,Corporate,Gambling,10928.57,Completed,90.96,1,1,1,CRITICAL
9d25b17a-93b2-4ec1-a44c-2600875aff8f,2023-10-12 23:30:43,SWIFT,RO,AT,Retail,Gambling,123500.99,Pending,89.94,1,1,1,CRITICAL
716644b4-e112-4849-b881-df62bb28f570,2023-12-24 14:02:42,SWIFT,PT,HK,Retail,Healthcare,130114.5,Completed,89.78,1,0,1,CRITICAL
3c799360-fab2-4271-9f2d-5e68ca7ba9c9,2024-07-03 03:22:13,SWIFT,BE,US,SME,Gambling,16311.85,Pending,89.4,1,1,1,CRITICAL
86d338e9-9325-4375-9317-dabcc735aa77,2024-06-10 20:02:32,SWIFT,SE,AE,Retail,Healthcare,177071.82,Completed,89.35,1,0,1,CRITICAL
